file_id,fw-og,fw-i,fw-det,fw-den,fw-at,fw-jeg,fw-som,fw-en,fw-er,fw-til,fw-med,fw-de,fw-paa,fw-han,fw-af,fw-saa,fw-der,fw-for,fw-var,fw-du,fw-men,fw-ikke,fw-et,fw-mig,fw-sig,fw-om,fw-har,fw-hun,fw-da,fw-min,fw-ved,fw-fra,fw-nu,fw-vi,fw-hans,fw-sin,fw-hvor,fw-dig,fw-ham,fw-skal,fw-vil,fw-hvad,fw-din,fw-havde,fw-naar,fw-kan,fw-dog,fw-dem,fw-man,fw-over,fw-her,fw-alle,fw-kun,fw-os,fw-selv,fw-blev,fw-ud,fw-mit,fw-gud,fw-end,fw-op,fw-sagde,fw-ja,fw-ei,fw-kom,fw-mod,fw-alt,fw-o,fw-være,fw-kunde,fw-vor,fw-sit,fw-vel,fw-oc,fw-ingen,fw-jo,fw-eller,fw-vilde,fw-maa,fw-denne,fw-hand,fw-efter,fw-thi,fw-ind,fw-deres,fw-dit,fw-gik,fw-hendes,fw-hver,fw-under,fw-hende,fw-aldrig,fw-ned,fw-ej,fw-ey,fw-gamle,fw-have,fw-skulde,fw-lille,fw-hvis
kingo04val_workid114193,54,23,2,0,15,39,12,9,33,11,8,2,7,0,0,6,8,10,0,17,4,2,5,20,2,5,9,1,5,29,4,3,2,0,6,5,4,7,1,13,5,4,12,0,1,0,4,0,0,0,4,1,0,0,3,0,0,10,4,3,3,0,1,0,0,0,1,3,1,1,0,1,1,0,6,2,1,0,2,0,6,0,2,1,0,2,0,0,1,1,0,1,3,0,5,1,0,0,0,0
michs_05_workid60991,1,6,3,3,0,9,1,2,0,2,0,1,1,0,0,0,2,2,1,0,0,1,1,1,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
stuckenberg02_workid61770,22,10,7,10,0,0,4,13,2,6,9,3,6,1,12,0,7,2,1,0,3,1,3,0,5,8,3,0,1,0,2,1,0,0,0,5,4,0,2,1,0,1,0,0,0,1,0,1,0,3,0,0,3,0,1,0,1,0,0,0,2,0,0,0,0,3,2,0,0,0,0,3,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,6,1,0,0,1,1,0,4,0,0,0,0
wintherchr01val_workid76928,3,8,1,2,2,14,5,3,3,7,1,3,4,0,0,2,1,3,0,16,0,1,0,2,0,0,6,0,2,7,0,2,3,0,0,2,0,12,0,1,0,0,4,0,2,5,1,1,0,1,1,0,1,0,0,0,0,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,1,0,3,1,1,0,0,1,3,0,0,0,0,0,0,1,0
holb07val_workid118169,111,76,73,96,150,17,84,72,68,52,23,79,38,33,66,47,30,48,15,0,21,54,25,5,39,23,38,0,11,2,12,11,12,1,13,16,7,0,3,7,9,7,0,11,11,0,12,9,25,4,7,14,5,0,9,6,2,0,0,15,1,0,5,0,0,7,2,3,7,8,2,2,9,0,8,6,25,2,9,7,0,3,22,5,8,0,0,0,1,3,0,1,1,2,0,10,12,2,0,3
aare04val_workid58713,4,9,7,1,0,0,2,0,3,6,1,0,0,0,2,1,2,1,0,0,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
claussen08val_workid56366,41,30,9,8,5,4,22,18,9,8,10,1,5,1,7,2,2,3,2,0,4,1,9,1,3,2,6,1,2,5,3,8,1,12,3,1,3,0,1,1,2,1,0,2,1,2,1,1,4,1,0,0,1,7,1,3,1,4,1,1,0,0,1,0,0,2,1,0,0,1,8,1,0,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,6,0,0,0,1,0,0
blich05_workid76769,124,73,76,42,52,89,33,58,31,45,30,40,44,80,29,44,35,34,59,17,40,42,16,33,18,26,23,22,23,11,9,9,15,17,15,7,7,6,20,13,13,16,2,22,6,11,4,4,5,7,19,7,4,8,5,14,4,2,1,13,5,12,3,1,9,1,0,1,7,6,1,5,4,0,4,4,12,10,3,7,0,8,2,8,2,1,10,6,1,1,21,4,3,1,0,4,7,8,2,3
hcaeventyr03val_workid79369,63,34,45,18,21,17,23,22,9,21,11,19,17,8,8,13,18,6,25,11,11,25,6,5,14,16,4,67,7,3,8,9,6,1,6,6,4,5,4,0,3,2,0,15,3,3,5,5,0,4,4,2,1,0,3,7,2,1,9,2,5,8,0,0,7,4,1,6,3,6,1,7,3,0,2,5,0,6,2,1,0,3,1,3,3,1,3,19,0,2,16,2,5,0,0,0,2,5,3,1
rode_02_workid55042,8,2,2,2,1,8,0,4,4,4,0,1,4,6,0,5,2,0,0,6,4,6,3,2,1,0,3,5,5,0,2,2,0,2,0,1,2,1,0,0,0,0,0,0,4,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,5,0,0,0,0,0,0
