file_id	author	title	volume	birth	death
hjort_09_workid54555	 Knud Hjortø	Pe svenden og hans søn	INDENSOGNS OG UDENSOGNS NOVELLER	1869	1931
wintherchr01val_workid98463	 Christian Winther	Naar bølgen langsomt vugger	Poetiske Skrifter 1	1796	1876
hertz10_lev_workid66612	 Henrik Hertz	Nu kan i dømme	Blandede Digte	1798	1870
aakjaer02val_workid82574	 Jeppe Aakjær	Efteraar.	SAMLEDE VÆRKER II	1866	1930
munp2_workid68820	 Gustaf Munch-Petersen	Flygt!	samlede skrifter II	1912	1938
brorson02val_workid67735	 Hans Adolph Brorson	Troens rare klenodie, 4. del. troens frugt	Samlede skrifter	1694	1764
ewald05val_workid93817	 Johannes Ewald	Samtlige skrifter i, tilegnelse (1780)	Samlede skrifter	1743	1781
baggesen06_workid54102	 Jens Baggesen	O.t.	LABYRINTEN	1764	1826
munp1_workid72193	 Gustaf Munch-Petersen	Tanker	samlede skrifter I	1912	1938
michs_03_workid66333	 Sophus Michaëlis	Kornmod	SOLBLOMSTER	1865	1932
aakjaer02val_workid77015	 Jeppe Aakjær	Bondefjol.	SAMLEDE VÆRKER II	1866	1930
hertz10_lev_workid68045	 Henrik Hertz	Antonie	Blandede Digte	1798	1870
rode_04_workid59312	 Helge Rode	Tilfjelds	ARIEL. EN DIGTSAMLING	1870	1937
kaalund01_workid74715	 H. V. Kaalund	Til naturen.	SAMLEDE DIGTE	1818	1885
richardt01_workid72099	 Christian Richardt	Den vilde rosenbusk.	SAMLEDE DIGTE AF CHR. RICHARDT. FØRSTE DEEL	1831	1892
kaalund01_workid76549	 H. V. Kaalund	Lænkegrisen.	SAMLEDE DIGTE	1818	1885
aakjaer02val_workid100393	 Jeppe Aakjær	Avisdrengen. (carl snoilsky.)	SAMLEDE VÆRKER II	1866	1930
grundtvig11val_workid148916	 N.F.S. Grundtvig	Gud-fader udsendte sit naadens-ord	SAMLET UDGAVE	1783	1872
bording01val_workid103612	 Anders Bording	Hvad holder det dog hart, før nogen sig opsvinger	Digte	1619	1677
drachmann01_workid79513	 Holger Drachmann	Til mesteren	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
baggesen02val_workid57867	 Jens Baggesen	Brevlængselen	Riimbreve og Epistler	1764	1826
baggesen02val_workid86277	 Jens Baggesen	Rimbrevpennen, eller den korsøerske svane	Riimbreve og Epistler	1764	1826
staffeldt01val_workid91512	 Schack von Staffeldt	Iv. barmhiertigheds tempel. ved billingtons sang	Samlede digte	1769	1826
wintherchr02val_workid82255	 Christian Winther	Paa herreborgen	Poetiske Skrifter 2	1796	1876
richardt02_workid87651	 Christian Richardt	Ved helligaands-kirkens fornyelse.	SAMLEDE DIGTE. ANDEN DEEL.	1831	1892
grundtvig11val_workid120113	 N.F.S. Grundtvig	Guds engle sang i stjerne-tal	SAMLET UDGAVE	1783	1872
brorson02val_workid74199	 Hans Adolph Brorson	Kommer, hvo vil viisdom lære!	Samlede skrifter	1694	1764
kaalund01_workid79566	 H. V. Kaalund	Til min hustru!	SAMLEDE DIGTE	1818	1885
rode_03_workid54087	 Helge Rode	Kraft	STEFAN BORGS HJEM	1870	1937
kaalund01_workid63517	 H. V. Kaalund	I staden og paa landet.	SAMLEDE DIGTE	1818	1885
hertz10_lev_workid75574	 Henrik Hertz	Brevposten	Blandede Digte	1798	1870
kingo01val_workid91907	 Thomas Kingo	Æresvers under catharina hemmers portræt 1694	Samlede Skrifter 1	1634	1703
oehl01val_workid64905	 Adam Oehlenschläger	Høsten, af 'poetiske skrifter', første deel', 1805	POETISKE SKRIFTER I	1779	1850
kingo04val_workid97660	 Thomas Kingo	Naar jeg, o jesu, betænker	Samlede Skrifter 4	1634	1703
aarestrup07val_workid56893	 Emil Aarestrup	Vinens gud (dk)	Udvalgte digte	1800	1856
kingo01val_workid87133	 Thomas Kingo	Gravskrift over oluf borck (i susanne worms navn) 1690	Samlede Skrifter 1	1634	1703
kingo02val_workid58139	 Thomas Kingo	Chr. v's første ledings-tog 1676	Samlede Skrifter 2	1634	1703
aakjaer01val_workid83957	 Jeppe Aakjær	Æ spøgels	SAMLEDE VÆRKER I	1866	1930
bang06val_workid83664	 Herman Bang	Eleonora duse	Værker i Mindeudgave 6	1857	1912
aare01val_workid68613	 Emil Aarestrup	Maanen.	Samlede Skrifter I	1800	1856
drachmann01_workid68291	 Holger Drachmann	Under granskoven (til min hustru)	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908
goldschmidt01_workid54528	 Meir Aron Goldschmidt	Arvingen	Arvingen	1819	1887
kingo03val_workid60163	 Thomas Kingo	Ach herre! lad nu ey din vred´ opsyde	Samlede Skrifter 3	1634	1703
kingo02val_workid75683	 Thomas Kingo	Opfordring	Samlede Skrifter 2	1634	1703
aakjaer02val_workid61492	 Jeppe Aakjær	Gammel ka bakk.	SAMLEDE VÆRKER II	1866	1930
kingo04val_workid76205	 Thomas Kingo	Hvor gaar du hen. o søde himmel-søn	Samlede Skrifter 4	1634	1703
brorson01_workid136633	 Hans Adolph Brorson	Nu vel an mit bange hierte	Samlede skrifter	1694	1764
munp1_workid61703	 Gustaf Munch-Petersen	Fröding	samlede skrifter I	1912	1938
brorson02val_workid74951	 Hans Adolph Brorson	Hvo vil med til himmerige	Samlede skrifter	1694	1764
kierkegaard02val_workid54242	 Søren Kierkegaard	Frygt og bæven	Frygt og Bæven Sygdommen til Døden Taler	1813	1855
plough01_workid64694	 Carl Ploug	Man har sagn om borgtapeter (1)	SAMLEDE DIGTE	1813	1894
