file_id	author	title	volume	birth	death	genre	types	tokens	ratio
topsoe01_workid61481	 Vilhelm Topsøe	I september	UDVALGTE SKRIFTER FØRSTE BIND	1840	1881	monographs	1323	6103	0.21678
kingo03val_workid81098	 Thomas Kingo	Blant alle ting i verden her	Samlede Skrifter 3	1634	1703	monographs	393	874	0.44966
staffeldt01val_workid74680	 Schack von Staffeldt	Platonismus	Samlede digte	1769	1826	poems	100	149	0.67114
richardt03_workid63152	 Christian Richardt	Skyttesang. [klippers vælde, mur al fjelde]	SAMLEDE DIGTE. TREDJE DEEL.	1831	1892	poems	104	146	0.71233
claussen04val_workid57762	 Sophus Claussen	Tonearkitektur	Lyrik II	1865	1931	poems	128	196	0.65306
aakjaer02val_workid89701	 Jeppe Aakjær	Sypigen. (thomas hood.)	SAMLEDE VÆRKER II	1866	1930	poems	270	581	0.46472
rode_08_workid58337	 Helge Rode	Norden	DEN STILLE HAVE	1870	1937	monographs	165	288	0.57292
aare03val_workid79229	 Emil Aarestrup	D. 17. juli 1847	Aarestrup vol 3	1800	1856	poems	163	260	0.62692
michs_03_workid64083	 Sophus Michaëlis	Ekko	SOLBLOMSTER	1865	1932	monographs	70	123	0.56911
drachmann01_workid94151	 Holger Drachmann	Lægen paa valpladsen	SAMLEDE POETISKE SKRIFTER FØRSTE BIND	1846	1908	poems	661	1451	0.45555
oehl05val_workid55836	 Adam Oehlenschläger	Helge	POETISKE SKRIFTER V	1779	1850	poems	5133	23474	0.21867
moeller01val_workid64327	 Poul Martin Møller	Poetens bøn paa bjærget	SKRIFTER I UDVALG	1794	1838	short fiction	84	113	0.74336
hertz09_lev_workid70697	 Henrik Hertz	Posthuset i hirschholm, et maanskins-stykke	Digte fra forskjellige Perioder	1798	1870	plays	499	1046	0.47706
worm01val_workid107793	 Jacob Worms	Qvinde-ukruds lifactige contrafayt,	SKRIFTER	1642	1693	monographs	838	1967	0.42603
bording01val_workid88804	 Anders Bording	Den gamle tjd forsuinder hen	Digte	1619	1677	poems	904	1991	0.45404
kaalund01_workid79669	 H. V. Kaalund	Stæren.	SAMLEDE DIGTE	1818	1885	poems	142	227	0.62555
wintherchr01val_workid93360	 Christian Winther	Der var saa eensomt og saa stille	Poetiske Skrifter 1	1796	1876	poems	157	239	0.65690
wied01val_workid74975	 Gustav Wied	Selma tornhjelm	Romaner Noveller Skuespil 1	1858	1914	monographs	903	3631	0.24869
claussen03val_workid63490	 Sophus Claussen	Efteraarsdigt	Lyrik I	1865	1931	poems	71	99	0.71717
kingo09val_workid92762	 Thomas Kingo	Mørket skiuler jorderige (dk)	Digtning i udvalg	1634	1703	poems	319	608	0.52467
grundtvig11val_workid76745	 N.F.S. Grundtvig	Som hønen klukker mindelig	SAMLET UDGAVE	1783	1872	poems	66	101	0.65347
aakjaer02val_workid99591	 Jeppe Aakjær	Stines parasol. (f. a. dahlgren.)	SAMLEDE VÆRKER II	1866	1930	poems	113	194	0.58247
blich07_workid92383	 Steen Steensen Blicher	Til de unge skandinaver	Udvalgte Værker	1782	1848	monographs	247	444	0.55631
stuckenberg02_workid95651	 Viggo Stuckenberg	Clara	SAMLEDE VÆRKER	1863	1905	poems	114	235	0.48511
bording01val_workid86551	 Anders Bording	Saa kand en hastig storm den allerstørste ceder	Digte	1619	1677	poems	452	813	0.55597
