file_id	author	title	volume	birth	death	genre	types	tokens	ratio
skjold_03_workid56361	 Johan Skjoldborg	Der vokser skov paa heden	DYNÆS DIGTE	1861	1936	monographs	78	142	0.54930
brorson02val_workid54385	 Hans Adolph Brorson	I jomfruer, i kloge	Samlede skrifter	1694	1764	monographs	313	744	0.42070
stuckenberg02_workid64951	 Viggo Stuckenberg	Højsommer	SAMLEDE VÆRKER	1863	1905	poems	85	130	0.65385
oehl02val_workid59720	 Adam Oehlenschläger	Aladdin, eller den forunderlige lampe	POETISKE SKRIFTER II	1779	1850	plays	8331	61151	0.13624
heiberg_bind01_workid55442	 Johan Ludvig Heiberg	I min ungdom	Poetiske skrifter	1791	1860	plays	3399	17642	0.19267
brorson02val_workid129731	 Hans Adolph Brorson	Troens rare klenodie, 7. del. troens ende	Samlede skrifter	1694	1764	monographs	2322	10620	0.21864
aare01val_workid60972	 Emil Aarestrup	En stedmodersblomst.	Samlede Skrifter I	1800	1856	poems	76	121	0.62810
hertz10_lev_workid73460	 Henrik Hertz	Med schillers digte	Blandede Digte	1798	1870	poems	96	149	0.64430
aare03val_workid66417	 Emil Aarestrup	Ved en vens hjemkomst	Aarestrup vol 3	1800	1856	poems	167	277	0.60289
kingo04val_workid83108	 Thomas Kingo	See hvor hand gaar, dend himmel-aulings mand	Samlede Skrifter 4	1634	1703	monographs	93	156	0.59615
michs_03_workid65827	 Sophus Michaëlis	Gud naade mig stakkels gamle mand	SOLBLOMSTER	1865	1932	monographs	53	83	0.63855
kingo04val_workid55608	 Thomas Kingo	Alleniste gud i himmerig	Samlede Skrifter 4	1634	1703	monographs	136	266	0.51128
grundtvig11val_workid109473	 N.F.S. Grundtvig	Stjernernes skaber og himmelens drot	SAMLET UDGAVE	1783	1872	poems	148	244	0.60656
larsenthfiredigt_workid56706	 Thøger Larsen	 jeg drømte	Fire digtsamlinger 1904-1912	1875	1928	monographs	97	168	0.57738
wintherchr01val_workid99825	 Christian Winther	Natten var mild og kjær	Poetiske Skrifter 1	1796	1876	poems	89	142	0.62676
kaalund01_workid62617	 H. V. Kaalund	Friskt vejr.	SAMLEDE DIGTE	1818	1885	poems	193	304	0.63487
rode_02_workid58390	 Helge Rode	Blomsterne er vore bedste venner	DIGTE	1870	1937	monographs	48	91	0.52747
munp1_workid68980	 Gustaf Munch-Petersen	Ivigtut	samlede skrifter I	1912	1938	poems	51	83	0.61446
nansen03ny_workid56126	 Peter Nansen	Ægypteres gæstebud	SAMLEDE SKRIFTER III	1861	1918	plays	1009	3399	0.29685
grundtvig11val_workid99472	 N.F.S. Grundtvig	Syng, guds folk! med hjertens glæde	SAMLET UDGAVE	1783	1872	poems	230	441	0.52154
boedtcher01_workid76801	 Ludvig Bødtcher	En festskaal for rom 1868	SAMLEDE DIGTE	1793	1874	poems	108	157	0.68790
sthen01val_workid71360	 Hans Christensen Sthen	En tacksigelse oc bøn om afftenen. den hymne, christe qui lux es & dies, &c.	Skrifter I En liden Vandrebog	1544	1610	monographs	135	233	0.57940
bording01val_workid88194	 Anders Bording	Forsee dig nu gradiv/ rym hen til andre riger	Digte	1619	1677	poems	284	440	0.64545
grundtvig12val_workid55795	 N.F.S. Grundtvig	Cereris og thetidis strid. en prologue (1774)	SAMLET UDGAVE	1783	1872	poems	351	673	0.52155
moeller01val_workid63392	 Poul Martin Møller	Et  blad  af  dødens  dagbog.	SKRIFTER I UDVALG	1794	1838	short fiction	510	984	0.51829
grundtvig12val_workid94218	 N.F.S. Grundtvig	Idag opstod den herre christ	SAMLET UDGAVE	1783	1872	poems	88	168	0.52381
aare01val_workid63839	 Emil Aarestrup	Ved evalds grav.	Samlede Skrifter I	1800	1856	poems	138	236	0.58475
hertz10_lev_workid68989	 Henrik Hertz	En lille fortælling	Blandede Digte	1798	1870	poems	439	1051	0.41770
blich07_workid92110	 Steen Steensen Blicher	Himmelbjerg-taler for 1844 [uddrag]	Udvalgte Værker	1782	1848	monographs	473	959	0.49322
boedtcher01_workid79376	 Ludvig Bødtcher	Balvise	SAMLEDE DIGTE	1793	1874	poems	100	146	0.68493
brorson02val_workid57969	 Hans Adolph Brorson	Hvor lystig, sød og yndig	Samlede skrifter	1694	1764	monographs	541	1594	0.33940
stuckenberg02_workid55192	 Viggo Stuckenberg	Bækken	SAMLEDE VÆRKER	1863	1905	poems	38	51	0.74510
aakjaer02val_workid59822	 Jeppe Aakjær	Ved engsøen.	SAMLEDE VÆRKER II	1866	1930	poems	105	169	0.62130
bording01val_workid102213	 Anders Bording	Exeqvias pelagus divisit et ignis et æther	Digte	1619	1677	poems	14	16	0.87500
claussen06val_workid64391	 Sophus Claussen	Erindring	Lyrik IV	1865	1931	poems	178	302	0.58940
kingo04val_workid96300	 Thomas Kingo	Længe haver satan spundet	Samlede Skrifter 4	1634	1703	monographs	327	680	0.48088
boedtcher01_workid88399	 Ludvig Bødtcher	Ved en confirmation	SAMLEDE DIGTE	1793	1874	poems	79	112	0.70536
grundtvig11val_workid102693	 N.F.S. Grundtvig	Blomstre som en rosen-gaard	SAMLET UDGAVE	1783	1872	poems	288	548	0.52555
baggesen02val_workid77626	 Jens Baggesen	Det tilgivelige tyverie	Riimbreve og Epistler	1764	1826	poems	245	508	0.48228
grundtvig11val_workid159039	 N.F.S. Grundtvig	Kom, gud-faders aand fuldgod	SAMLET UDGAVE	1783	1872	poems	118	187	0.63102
munp1_workid80722	 Gustaf Munch-Petersen	Glimt - varslende - flygtet	samlede skrifter I	1912	1938	poems	95	165	0.57576
larsenthfiredigt_workid64979	 Thøger Larsen	Stormfuld vinternat	Fire digtsamlinger 1904-1912	1875	1928	monographs	104	142	0.73239
