Fil;Mediatyp;Författare;Verk;Utgiven;Införd;Sidor;file_id
lb7757.xml;faksimil;Johan Olof Wallin, Emil Liedgren, Sten Malmström;Dikter II;1963;2011-08-13;sidor;lb7757_1591.txt
lb1595136.xml;etext;Alfhild Agrell;Bilder från Italien;1883;2014-01-23;sidor;lb1595136_378.txt
lb1626621.xml;faksimil;August Strindberg;Tryckt och otryckt. II [1890];1890;2017-01-30;sidor;lb1626621_469.txt
lb2107912.xml;etext;Amanda Kerfstedt;Reflexer;1901;2013-11-21;sidor;lb2107912_706.txt
lb1598607.xml;etext;Claës Lundin;Oxygen och Aromasia;1878;2013-08-19;sidor;lb1598607_396.txt
lb1355513.xml;etext;Nils Hasselskog;Guldregn;1935;2009-02-11;sidor;lb1355513_249.txt
lb2429031.xml;etext;Johan Gabriel Oxenstierna;Skördarne. Poëme;1796;2014-09-22;sidor;lb2429031_1036.txt
lb1209132.xml;etext;Wendela Hebbe;I skogen;1871;2009-09-17;sidor;lb1209132_166.txt
lb8203629.xml;faksimil;Wilhelm Berg;Anteckningar om Göteborgs äldre teatrar, I. 1690–1794;1896;2016-09-14;sidor;lb8203629_1647.txt
lb99909004.xml;faksimil;August Strindberg, Hans Sandberg;Samlade Verk 4. Ungdomsjournalistik. Textkritisk kommentar;2005;2015-03-09;sidor;lb99909004_1928.txt
lb2483009.xml;faksimil;Haquin Spegel, Bernt Olsson, Barbro Nilsson;Samlade skrifter I:2;1998;2011-08-13;sidor;lb2483009_1161.txt
lb1721445.xml;etext;Alfhild Agrell;Guds drömmare;1904;2017-05-22;sidor;lb1721445_603.txt
lb1484747.xml;etext;Värnlund, Rudolf;Döda människor;1924;2017-08-28;sidor;lb1484747_304.txt
